序号,用户ID,用户画像特征,消费与商品记录,耗材复购与健康,对比与建议,时间
0,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家幼猫K36(2kg) | 零食:冻干鸡肉粒 | 用品:猫抓板,猫砂:里兜豆腐猫砂(剩余15天量) | 维生素:需补充,优于70%同面积养猫用户(复购及时),2025-01
1,1002,70㎡公寓 | 情侣 | 养狗(泰迪),主粮:冠能小型犬(3kg) | 零食:羊奶棒 | 用品:牵引绳,驱虫:福来恩(剩余30天) | 美毛粉:未购买,狗粮复购频率低于同类用户30%,2025-01
2,1003,90㎡三居 | 1狗1猫 | 混合家庭,主粮:冠能中型犬+皇家成猫 | 用品:双层食盆 | 药品:驱虫组合,猫砂:混合猫砂(急需补货) | 牙膏:未使用,多宠家庭中清洁用品消费处于中等水平,2025-01
3,1004,85㎡两居 | 2猫 | 布偶/暹罗,主粮:渴望鸡肉(5.4kg) | 用品:自动喂食器 | 玩具:逗猫棒,耗材:HEPA滤网(剩余20天) | 化毛膏:需购买,高端粮消费占比前15%,2025-01
4,1005,120㎡别墅 | 老人 | 养鸟(鹦鹉),主食:滋养丸 | 用品:大型鸟笼 | 保健:羽毛粉,药品:未购买 | 保健品:需补充,老年宠物主操作便捷性低于同类20%,2025-01
5,1006,150㎡别墅 | 儿童 | 养大型犬(金毛),主粮:冠能大型犬(15kg) | 用品:宠物泳池 | 洗护:沐浴露,玩具:漏食球(破损) | 洗护:需补货,大户型中宠物活动空间利用充分,2025-01
6,1007,55㎡一居 | 独居 | 养鱼(水族箱),饲料:热带鱼颗粒 | 用品:过滤棉 | 设备:加热棒,耗材:水质测试剂(剩余) | 设备:需维护,水族用户活跃度优于70%同类,2025-01
7,1008,100㎡三居 | 三口之家 | 养猫(美短),主粮:皇家K36(4kg) | 用品:半封闭猫砂盆 | 药品:驱虫,猫砂:膨润土(除臭差) | 除臭:需升级,家庭用户中猫砂消耗速度低于同类15%,2025-01
8,1009,80㎡两居 | 养宠 | 兔子,主食:提摩西草 | 用品:跑轮 | 玩具:隧道,耗材:草架(生锈) | 玩具:需更新,异宠用户中用品复购率处于中等,2025-01
9,1010,130㎡四居 | 三代同堂 | 多猫家庭(3只),主粮:网易严选(12kg) | 用品:多层猫爬架 | 卫生:吸尘器配件,猫砂:松木猫砂(粉尘多) | 卫生:需优化,大户型多猫家庭中卫生管理低于同类20%,2025-01
10,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家幼猫K36(2kg) | 零食:猫条(12包) | 用品:猫包,猫砂:里兜豆腐猫砂(剩余10天量) | 维生素:已购买,优于72%同面积养猫用户,2025-02
11,1002,70㎡公寓 | 情侣 | 养狗(泰迪),主粮:冠能小型犬(3kg) | 用品:宠物推车 | 零食:肉干,驱虫:福来恩(已过期) | 驱虫:需补买,狗粮复购频率低于同类用户25%,2025-02
12,1003,90㎡三居 | 1狗1猫 | 混合家庭,主粮:冠能+皇家 | 用品:宠物摄像头 | 药品:益生菌,猫砂:混合猫砂(剩余5天) | 益生菌:已购买,多宠家庭中药品储备意识提升,2025-02
13,1004,85㎡两居 | 2猫 | 布偶/暹罗,主粮:渴望鸡肉(5.4kg) | 用品:自动喂食器 | 玩具:猫隧道,耗材:HEPA滤网(已更换) | 化毛膏:未购买,高端粮消费占比前10%,2025-02
14,1005,120㎡别墅 | 老人 | 养鸟(鹦鹉),主食:滋养丸 | 用品:站架 | 保健:钙粉,药品:眼药水 | 保健:需补充,老年宠物主对保健品认知度提升,2025-02
15,1006,150㎡别墅 | 儿童 | 养大型犬(金毛),主粮:冠能大型犬(15kg) | 用品:宠物泳池 | 洗护:去味喷雾,玩具:咬绳(磨损) | 洗护:需补货,大户型中宠物运动量达标率提升,2025-02
16,1007,55㎡一居 | 独居 | 养鱼(水族箱),饲料:缓释片 | 用品:加热棒 | 设备:氧气泵,耗材:过滤棉(堵塞) | 设备:需清洗,水族用户设备维护意识增强,2025-02
